sample_id,image_path,mask_path,classe,subclasse
IMG_01_TILE_001,IMAGES/IMG-RGB/IMG_01_TILE_001.png,IMAGES/LABELS-1D/IMG_01_TILE_001_1D.png,,
IMG_01_TILE_002,IMAGES/IMG-RGB/IMG_01_TILE_002.png,IMAGES/LABELS-1D/IMG_01_TILE_002_1D.png,,
IMG_02_TILE_001,IMAGES/IMG-RGB/IMG_02_TILE_001.png,IMAGES/LABELS-1D/IMG_02_TILE_001_1D.png,,
IMG_02_TILE_002,IMAGES/IMG-RGB/IMG_02_TILE_002.png,IMAGES/LABELS-1D/IMG_02_TILE_002_1D.png,,
IMG_02_TILE_003,IMAGES/IMG-RGB/IMG_02_TILE_003.png,IMAGES/LABELS-1D/IMG_02_TILE_003_1D.png,,
IMG_02_TILE_004,IMAGES/IMG-RGB/IMG_02_TILE_004.png,IMAGES/LABELS-1D/IMG_02_TILE_004_1D.png,,
IMG_02_TILE_005,IMAGES/IMG-RGB/IMG_02_TILE_005.png,IMAGES/LABELS-1D/IMG_02_TILE_005_1D.png,,
IMG_02_TILE_006,IMAGES/IMG-RGB/IMG_02_TILE_006.png,IMAGES/LABELS-1D/IMG_02_TILE_006_1D.png,,
IMG_02_TILE_007,IMAGES/IMG-RGB/IMG_02_TILE_007.png,IMAGES/LABELS-1D/IMG_02_TILE_007_1D.png,,
IMG_02_TILE_008,IMAGES/IMG-RGB/IMG_02_TILE_008.png,IMAGES/LABELS-1D/IMG_02_TILE_008_1D.png,,
IMG_02_TILE_009,IMAGES/IMG-RGB/IMG_02_TILE_009.png,IMAGES/LABELS-1D/IMG_02_TILE_009_1D.png,,
IMG_04_TILE_001,IMAGES/IMG-RGB/IMG_04_TILE_001.png,IMAGES/LABELS-1D/IMG_04_TILE_001_1D.png,,
IMG_04_TILE_002,IMAGES/IMG-RGB/IMG_04_TILE_002.png,IMAGES/LABELS-1D/IMG_04_TILE_002_1D.png,,
IMG_04_TILE_003,IMAGES/IMG-RGB/IMG_04_TILE_003.png,IMAGES/LABELS-1D/IMG_04_TILE_003_1D.png,,
IMG_04_TILE_004,IMAGES/IMG-RGB/IMG_04_TILE_004.png,IMAGES/LABELS-1D/IMG_04_TILE_004_1D.png,,
IMG_04_TILE_005,IMAGES/IMG-RGB/IMG_04_TILE_005.png,IMAGES/LABELS-1D/IMG_04_TILE_005_1D.png,,
IMG_04_TILE_006,IMAGES/IMG-RGB/IMG_04_TILE_006.png,IMAGES/LABELS-1D/IMG_04_TILE_006_1D.png,,
IMG_04_TILE_007,IMAGES/IMG-RGB/IMG_04_TILE_007.png,IMAGES/LABELS-1D/IMG_04_TILE_007_1D.png,,
IMG_04_TILE_008,IMAGES/IMG-RGB/IMG_04_TILE_008.png,IMAGES/LABELS-1D/IMG_04_TILE_008_1D.png,,
IMG_04_TILE_009,IMAGES/IMG-RGB/IMG_04_TILE_009.png,IMAGES/LABELS-1D/IMG_04_TILE_009_1D.png,,
IMG_04_TILE_010,IMAGES/IMG-RGB/IMG_04_TILE_010.png,IMAGES/LABELS-1D/IMG_04_TILE_010_1D.png,,
IMG_04_TILE_011,IMAGES/IMG-RGB/IMG_04_TILE_011.png,IMAGES/LABELS-1D/IMG_04_TILE_011_1D.png,,
IMG_04_TILE_012,IMAGES/IMG-RGB/IMG_04_TILE_012.png,IMAGES/LABELS-1D/IMG_04_TILE_012_1D.png,,
IMG_04_TILE_013,IMAGES/IMG-RGB/IMG_04_TILE_013.png,IMAGES/LABELS-1D/IMG_04_TILE_013_1D.png,,
IMG_05_TILE_001,IMAGES/IMG-RGB/IMG_05_TILE_001.png,IMAGES/LABELS-1D/IMG_05_TILE_001_1D.png,,
IMG_05_TILE_002,IMAGES/IMG-RGB/IMG_05_TILE_002.png,IMAGES/LABELS-1D/IMG_05_TILE_002_1D.png,,
IMG_05_TILE_003,IMAGES/IMG-RGB/IMG_05_TILE_003.png,IMAGES/LABELS-1D/IMG_05_TILE_003_1D.png,,
IMG_05_TILE_004,IMAGES/IMG-RGB/IMG_05_TILE_004.png,IMAGES/LABELS-1D/IMG_05_TILE_004_1D.png,,
IMG_05_TILE_005,IMAGES/IMG-RGB/IMG_05_TILE_005.png,IMAGES/LABELS-1D/IMG_05_TILE_005_1D.png,,
IMG_05_TILE_006,IMAGES/IMG-RGB/IMG_05_TILE_006.png,IMAGES/LABELS-1D/IMG_05_TILE_006_1D.png,,
IMG_06_TILE_001,IMAGES/IMG-RGB/IMG_06_TILE_001.png,IMAGES/LABELS-1D/IMG_06_TILE_001_1D.png,,
IMG_06_TILE_002,IMAGES/IMG-RGB/IMG_06_TILE_002.png,IMAGES/LABELS-1D/IMG_06_TILE_002_1D.png,,
IMG_06_TILE_003,IMAGES/IMG-RGB/IMG_06_TILE_003.png,IMAGES/LABELS-1D/IMG_06_TILE_003_1D.png,,
IMG_08_TILE_001,IMAGES/IMG-RGB/IMG_08_TILE_001.png,IMAGES/LABELS-1D/IMG_08_TILE_001_1D.png,,
IMG_08_TILE_002,IMAGES/IMG-RGB/IMG_08_TILE_002.png,IMAGES/LABELS-1D/IMG_08_TILE_002_1D.png,,
IMG_09_TILE_001,IMAGES/IMG-RGB/IMG_09_TILE_001.png,IMAGES/LABELS-1D/IMG_09_TILE_001_1D.png,,
IMG_09_TILE_002,IMAGES/IMG-RGB/IMG_09_TILE_002.png,IMAGES/LABELS-1D/IMG_09_TILE_002_1D.png,,
IMG_09_TILE_003,IMAGES/IMG-RGB/IMG_09_TILE_003.png,IMAGES/LABELS-1D/IMG_09_TILE_003_1D.png,,
IMG_09_TILE_004,IMAGES/IMG-RGB/IMG_09_TILE_004.png,IMAGES/LABELS-1D/IMG_09_TILE_004_1D.png,,
IMG_09_TILE_005,IMAGES/IMG-RGB/IMG_09_TILE_005.png,IMAGES/LABELS-1D/IMG_09_TILE_005_1D.png,,
IMG_09_TILE_006,IMAGES/IMG-RGB/IMG_09_TILE_006.png,IMAGES/LABELS-1D/IMG_09_TILE_006_1D.png,,
IMG_09_TILE_007,IMAGES/IMG-RGB/IMG_09_TILE_007.png,IMAGES/LABELS-1D/IMG_09_TILE_007_1D.png,,
IMG_09_TILE_008,IMAGES/IMG-RGB/IMG_09_TILE_008.png,IMAGES/LABELS-1D/IMG_09_TILE_008_1D.png,,
IMG_09_TILE_009,IMAGES/IMG-RGB/IMG_09_TILE_009.png,IMAGES/LABELS-1D/IMG_09_TILE_009_1D.png,,
IMG_09_TILE_010,IMAGES/IMG-RGB/IMG_09_TILE_010.png,IMAGES/LABELS-1D/IMG_09_TILE_010_1D.png,,
IMG_09_TILE_011,IMAGES/IMG-RGB/IMG_09_TILE_011.png,IMAGES/LABELS-1D/IMG_09_TILE_011_1D.png,,
IMG_09_TILE_012,IMAGES/IMG-RGB/IMG_09_TILE_012.png,IMAGES/LABELS-1D/IMG_09_TILE_012_1D.png,,
IMG_09_TILE_013,IMAGES/IMG-RGB/IMG_09_TILE_013.png,IMAGES/LABELS-1D/IMG_09_TILE_013_1D.png,,
IMG_09_TILE_014,IMAGES/IMG-RGB/IMG_09_TILE_014.png,IMAGES/LABELS-1D/IMG_09_TILE_014_1D.png,,
IMG_09_TILE_015,IMAGES/IMG-RGB/IMG_09_TILE_015.png,IMAGES/LABELS-1D/IMG_09_TILE_015_1D.png,,
IMG_09_TILE_016,IMAGES/IMG-RGB/IMG_09_TILE_016.png,IMAGES/LABELS-1D/IMG_09_TILE_016_1D.png,,
IMG_09_TILE_017,IMAGES/IMG-RGB/IMG_09_TILE_017.png,IMAGES/LABELS-1D/IMG_09_TILE_017_1D.png,,
IMG_10_TILE_001,IMAGES/IMG-RGB/IMG_10_TILE_001.png,IMAGES/LABELS-1D/IMG_10_TILE_001_1D.png,,
IMG_10_TILE_002,IMAGES/IMG-RGB/IMG_10_TILE_002.png,IMAGES/LABELS-1D/IMG_10_TILE_002_1D.png,,
IMG_10_TILE_003,IMAGES/IMG-RGB/IMG_10_TILE_003.png,IMAGES/LABELS-1D/IMG_10_TILE_003_1D.png,,
IMG_10_TILE_004,IMAGES/IMG-RGB/IMG_10_TILE_004.png,IMAGES/LABELS-1D/IMG_10_TILE_004_1D.png,,
IMG_10_TILE_005,IMAGES/IMG-RGB/IMG_10_TILE_005.png,IMAGES/LABELS-1D/IMG_10_TILE_005_1D.png,,
IMG_10_TILE_006,IMAGES/IMG-RGB/IMG_10_TILE_006.png,IMAGES/LABELS-1D/IMG_10_TILE_006_1D.png,,
IMG_11_TILE_001,IMAGES/IMG-RGB/IMG_11_TILE_001.png,IMAGES/LABELS-1D/IMG_11_TILE_001_1D.png,,
IMG_11_TILE_002,IMAGES/IMG-RGB/IMG_11_TILE_002.png,IMAGES/LABELS-1D/IMG_11_TILE_002_1D.png,,
IMG_14_TILE_001,IMAGES/IMG-RGB/IMG_14_TILE_001.png,IMAGES/LABELS-1D/IMG_14_TILE_001_1D.png,,
IMG_14_TILE_002,IMAGES/IMG-RGB/IMG_14_TILE_002.png,IMAGES/LABELS-1D/IMG_14_TILE_002_1D.png,,
IMG_14_TILE_003,IMAGES/IMG-RGB/IMG_14_TILE_003.png,IMAGES/LABELS-1D/IMG_14_TILE_003_1D.png,,
IMG_16_TILE_001,IMAGES/IMG-RGB/IMG_16_TILE_001.png,IMAGES/LABELS-1D/IMG_16_TILE_001_1D.png,,
IMG_16_TILE_002,IMAGES/IMG-RGB/IMG_16_TILE_002.png,IMAGES/LABELS-1D/IMG_16_TILE_002_1D.png,,
IMG_18_TILE_001,IMAGES/IMG-RGB/IMG_18_TILE_001.png,IMAGES/LABELS-1D/IMG_18_TILE_001_1D.png,,
IMG_18_TILE_002,IMAGES/IMG-RGB/IMG_18_TILE_002.png,IMAGES/LABELS-1D/IMG_18_TILE_002_1D.png,,
IMG_18_TILE_003,IMAGES/IMG-RGB/IMG_18_TILE_003.png,IMAGES/LABELS-1D/IMG_18_TILE_003_1D.png,,
IMG_18_TILE_004,IMAGES/IMG-RGB/IMG_18_TILE_004.png,IMAGES/LABELS-1D/IMG_18_TILE_004_1D.png,,
IMG_18_TILE_005,IMAGES/IMG-RGB/IMG_18_TILE_005.png,IMAGES/LABELS-1D/IMG_18_TILE_005_1D.png,,
IMG_21_TILE_001,IMAGES/IMG-RGB/IMG_21_TILE_001.png,IMAGES/LABELS-1D/IMG_21_TILE_001_1D.png,,
IMG_21_TILE_002,IMAGES/IMG-RGB/IMG_21_TILE_002.png,IMAGES/LABELS-1D/IMG_21_TILE_002_1D.png,,
IMG_21_TILE_003,IMAGES/IMG-RGB/IMG_21_TILE_003.png,IMAGES/LABELS-1D/IMG_21_TILE_003_1D.png,,
IMG_21_TILE_004,IMAGES/IMG-RGB/IMG_21_TILE_004.png,IMAGES/LABELS-1D/IMG_21_TILE_004_1D.png,,
IMG_21_TILE_005,IMAGES/IMG-RGB/IMG_21_TILE_005.png,IMAGES/LABELS-1D/IMG_21_TILE_005_1D.png,,
IMG_21_TILE_006,IMAGES/IMG-RGB/IMG_21_TILE_006.png,IMAGES/LABELS-1D/IMG_21_TILE_006_1D.png,,
IMG_21_TILE_007,IMAGES/IMG-RGB/IMG_21_TILE_007.png,IMAGES/LABELS-1D/IMG_21_TILE_007_1D.png,,
IMG_21_TILE_008,IMAGES/IMG-RGB/IMG_21_TILE_008.png,IMAGES/LABELS-1D/IMG_21_TILE_008_1D.png,,
IMG_21_TILE_009,IMAGES/IMG-RGB/IMG_21_TILE_009.png,IMAGES/LABELS-1D/IMG_21_TILE_009_1D.png,,
IMG_21_TILE_010,IMAGES/IMG-RGB/IMG_21_TILE_010.png,IMAGES/LABELS-1D/IMG_21_TILE_010_1D.png,,
IMG_21_TILE_011,IMAGES/IMG-RGB/IMG_21_TILE_011.png,IMAGES/LABELS-1D/IMG_21_TILE_011_1D.png,,
IMG_21_TILE_012,IMAGES/IMG-RGB/IMG_21_TILE_012.png,IMAGES/LABELS-1D/IMG_21_TILE_012_1D.png,,
IMG_21_TILE_013,IMAGES/IMG-RGB/IMG_21_TILE_013.png,IMAGES/LABELS-1D/IMG_21_TILE_013_1D.png,,
IMG_21_TILE_014,IMAGES/IMG-RGB/IMG_21_TILE_014.png,IMAGES/LABELS-1D/IMG_21_TILE_014_1D.png,,
IMG_21_TILE_015,IMAGES/IMG-RGB/IMG_21_TILE_015.png,IMAGES/LABELS-1D/IMG_21_TILE_015_1D.png,,
IMG_21_TILE_016,IMAGES/IMG-RGB/IMG_21_TILE_016.png,IMAGES/LABELS-1D/IMG_21_TILE_016_1D.png,,
IMG_21_TILE_017,IMAGES/IMG-RGB/IMG_21_TILE_017.png,IMAGES/LABELS-1D/IMG_21_TILE_017_1D.png,,
IMG_21_TILE_018,IMAGES/IMG-RGB/IMG_21_TILE_018.png,IMAGES/LABELS-1D/IMG_21_TILE_018_1D.png,,
IMG_22_TILE_001,IMAGES/IMG-RGB/IMG_22_TILE_001.png,IMAGES/LABELS-1D/IMG_22_TILE_001_1D.png,,
IMG_22_TILE_002,IMAGES/IMG-RGB/IMG_22_TILE_002.png,IMAGES/LABELS-1D/IMG_22_TILE_002_1D.png,,
IMG_22_TILE_003,IMAGES/IMG-RGB/IMG_22_TILE_003.png,IMAGES/LABELS-1D/IMG_22_TILE_003_1D.png,,
IMG_22_TILE_004,IMAGES/IMG-RGB/IMG_22_TILE_004.png,IMAGES/LABELS-1D/IMG_22_TILE_004_1D.png,,
IMG_22_TILE_005,IMAGES/IMG-RGB/IMG_22_TILE_005.png,IMAGES/LABELS-1D/IMG_22_TILE_005_1D.png,,
IMG_22_TILE_006,IMAGES/IMG-RGB/IMG_22_TILE_006.png,IMAGES/LABELS-1D/IMG_22_TILE_006_1D.png,,
IMG_23_TILE_001,IMAGES/IMG-RGB/IMG_23_TILE_001.png,IMAGES/LABELS-1D/IMG_23_TILE_001_1D.png,,
IMG_23_TILE_002,IMAGES/IMG-RGB/IMG_23_TILE_002.png,IMAGES/LABELS-1D/IMG_23_TILE_002_1D.png,,
IMG_23_TILE_003,IMAGES/IMG-RGB/IMG_23_TILE_003.png,IMAGES/LABELS-1D/IMG_23_TILE_003_1D.png,,
IMG_23_TILE_004,IMAGES/IMG-RGB/IMG_23_TILE_004.png,IMAGES/LABELS-1D/IMG_23_TILE_004_1D.png,,
IMG_23_TILE_005,IMAGES/IMG-RGB/IMG_23_TILE_005.png,IMAGES/LABELS-1D/IMG_23_TILE_005_1D.png,,
IMG_23_TILE_006,IMAGES/IMG-RGB/IMG_23_TILE_006.png,IMAGES/LABELS-1D/IMG_23_TILE_006_1D.png,,
IMG_23_TILE_007,IMAGES/IMG-RGB/IMG_23_TILE_007.png,IMAGES/LABELS-1D/IMG_23_TILE_007_1D.png,,
IMG_23_TILE_008,IMAGES/IMG-RGB/IMG_23_TILE_008.png,IMAGES/LABELS-1D/IMG_23_TILE_008_1D.png,,
IMG_23_TILE_009,IMAGES/IMG-RGB/IMG_23_TILE_009.png,IMAGES/LABELS-1D/IMG_23_TILE_009_1D.png,,
IMG_23_TILE_010,IMAGES/IMG-RGB/IMG_23_TILE_010.png,IMAGES/LABELS-1D/IMG_23_TILE_010_1D.png,,
IMG_23_TILE_011,IMAGES/IMG-RGB/IMG_23_TILE_011.png,IMAGES/LABELS-1D/IMG_23_TILE_011_1D.png,,
IMG_25_TILE_001,IMAGES/IMG-RGB/IMG_25_TILE_001.png,IMAGES/LABELS-1D/IMG_25_TILE_001_1D.png,,
IMG_25_TILE_002,IMAGES/IMG-RGB/IMG_25_TILE_002.png,IMAGES/LABELS-1D/IMG_25_TILE_002_1D.png,,
IMG_25_TILE_003,IMAGES/IMG-RGB/IMG_25_TILE_003.png,IMAGES/LABELS-1D/IMG_25_TILE_003_1D.png,,
